Test;Size;Time (µs);GB/s
Read SRAM0;3360;546711;2.926592
Scalar Read SRAM0;3360;1047856;1.526927
Read TCM;3360;506002;3.162043
Scalar Read TCM;3360;1006948;1.588960
Write SRAM0;3360;882549;1.812930
Scalar Write SRAM0;3360;1010786;1.582927
Write TCM;3360;506100;3.161431
Scalar Write TCM;3360;1007150;1.588641
Read SRAM0;3516;544654;2.937645
Scalar Read SRAM0;3516;1045759;1.529989
Read TCM;3516;505754;3.163594
Scalar Read TCM;3516;1006671;1.589397
Write SRAM0;3516;882801;1.812413
Scalar Write SRAM0;3516;1010503;1.583370
Write TCM;3516;505852;3.162981
Scalar Write TCM;3516;1006874;1.589077
Read SRAM0;3680;542678;2.948341
Scalar Read SRAM0;3680;1043755;1.532927
Read TCM;3680;505511;3.165114
Scalar Read TCM;3680;1006403;1.589820
Write SRAM0;3680;882259;1.813526
Scalar Write SRAM0;3680;1010249;1.583768
Write TCM;3680;505611;3.164488
Scalar Write TCM;3680;1006604;1.589503
Read SRAM0;3856;647418;2.471355
Scalar Read SRAM0;3856;1152890;1.387817
Read TCM;3856;505279;3.166567
Scalar Read TCM;3856;1006146;1.590227
Write SRAM0;3856;882120;1.813812
Scalar Write SRAM0;3856;1009979;1.584191
Write TCM;3856;505378;3.165947
Scalar Write TCM;3856;1006343;1.589915
Read SRAM0;4036;800924;1.997693
Scalar Read SRAM0;4036;1295510;1.235035
Read TCM;4036;505061;3.167934
Scalar Read TCM;4036;1005906;1.590606
Write SRAM0;4036;882374;1.813290
Scalar Write SRAM0;4036;1009751;1.584549
Write TCM;4036;505156;3.167338
Scalar Write TCM;4036;1006109;1.590285
Read SRAM0;4224;833928;1.918631
Scalar Read SRAM0;4224;1329185;1.203745
Read TCM;4224;504849;3.169265
Scalar Read TCM;4224;1005671;1.590978
Write SRAM0;4224;881873;1.814320
Scalar Write SRAM0;4224;1009552;1.584861
Write TCM;4224;504944;3.168668
Scalar Write TCM;4224;1005874;1.590657
Read SRAM0;4424;818995;1.953614
Scalar Read SRAM0;4424;1314250;1.217424
