Test;Size;Time (µs);GB/s
Scalar Read TCM;30176;1001356;1.597833
Write SRAM;30176;879530;1.819153
Scalar Write SRAM;30176;1005090;1.591897
Write TCM;30176;501058;3.193243
Scalar Write TCM;30176;1001553;1.597519
Read SRAM;33120;1370582;1.167387
Scalar Read SRAM;33120;1732164;0.923700
Read TCM;33120;500911;3.194180
Scalar Read TCM;33120;1001309;1.597908
Write SRAM;33120;879496;1.819224
Scalar Write SRAM;33120;1005046;1.591967
Write TCM;33120;501010;3.193549
Scalar Write TCM;33120;1001510;1.597588
Read SRAM;36320;1364916;1.172233
Scalar Read SRAM;36320;1646353;0.971845
Read TCM;36320;500863;3.194486
Scalar Read TCM;36320;1001258;1.597990
Write SRAM;36320;879466;1.819286
Scalar Write SRAM;36320;1004990;1.592056
Write TCM;36320;500963;3.193849
Scalar Write TCM;36320;1001459;1.597669
Read SRAM;39872;1364887;1.172258
Scalar Read SRAM;39872;1608629;0.994636
Read TCM;39872;500821;3.194754
Scalar Read TCM;39872;1001217;1.598055
Write SRAM;39872;879440;1.819340
Scalar Write SRAM;39872;1004947;1.592124
Write TCM;39872;500922;3.194110
Scalar Write TCM;39872;1001417;1.597736
Read SRAM;43744;1364346;1.172723
Scalar Read SRAM;43744;1581304;1.011823
Read TCM;43744;500777;3.195035
Scalar Read TCM;43744;1001168;1.598133
Write SRAM;43744;879400;1.819422
Scalar Write SRAM;43744;1004895;1.592206
Write TCM;43744;500877;3.194397
Scalar Write TCM;43744;1001368;1.597814
Read SRAM;48000;1363448;1.173495
Scalar Read SRAM;48000;1566380;1.021464
Read TCM;48000;500725;3.195367
Scalar Read TCM;48000;1001097;1.598247
Write SRAM;48000;879350;1.819526
Scalar Write SRAM;48000;1004819;1.592327
Write TCM;48000;500825;3.194729
Scalar Write TCM;48000;1001299;1.597924
