Test;Size;Time (µs);GB/s
Read Throughput SRAM 0;1788;510965;3.131330
Scalar Read Throughput SRAM 0;1788;1012432;1.580353
Read Throughput;1788;510965;3.131330
Scalar Read Throughput;1788;1012432;1.580353
Write Throughput SRAM 0;1788;886236;1.805388
Scalar Write Throughput SRAM 0;1788;1012433;1.580351
Write Throughput;1788;511059;3.130754
Scalar Write Throughput;1788;1012433;1.580351
Read Throughput SRAM 0;1876;510466;3.134391
Scalar Read Throughput SRAM 0;1876;1011881;1.581214
Read Throughput;1876;510466;3.134391
Scalar Read Throughput;1876;1011882;1.581212
Write Throughput SRAM 0;1876;885915;1.806042
Scalar Write Throughput SRAM 0;1876;1011882;1.581212
Write Throughput;1876;510564;3.133789
Scalar Write Throughput;1876;1011882;1.581212
Read Throughput SRAM 0;1972;509972;3.137427
Scalar Read Throughput SRAM 0;1972;1011335;1.582067
Read Throughput;1972;509972;3.137427
Scalar Read Throughput;1972;1011335;1.582067
Write Throughput SRAM 0;1972;885592;1.806701
Scalar Write Throughput SRAM 0;1972;1011336;1.582066
Write Throughput;1972;510068;3.136837
Scalar Write Throughput;1972;1011337;1.582064
Read Throughput SRAM 0;2068;509526;3.140173
Scalar Read Throughput SRAM 0;2068;1010841;1.582840
Read Throughput;2068;509525;3.140180
Scalar Read Throughput;2068;1010841;1.582840
Write Throughput SRAM 0;2068;885305;1.807287
Scalar Write Throughput SRAM 0;2068;1010841;1.582840
Write Throughput;2068;509623;3.139576
Scalar Write Throughput;2068;1010841;1.582840
Read Throughput SRAM 0;2168;509101;3.142795
Scalar Read Throughput SRAM 0;2168;1010370;1.583578
Read Throughput;2168;509100;3.142801
Scalar Read Throughput;2168;1010372;1.583575
Write Throughput SRAM 0;2168;884325;1.809290
Scalar Write Throughput SRAM 0;2168;1010371;1.583577
Write Throughput;2168;509197;3.142202
Scalar Write Throughput;2168;1010371;1.583577
Read Throughput SRAM 0;2276;508684;3.145371
Scalar Read Throughput SRAM 0;2276;1009910;1.584300
Read Throughput;2276;508684;3.145371
Scalar Read Throughput;2276;1009910;1.584300
Write Throughput SRAM 0;2276;884755;1.808410
Scalar Write Throughput SRAM 0;2276;1009910;1.584300
Write Throughput;2276;508781;3.144772
Scalar Write Throughput;2276;1009910;1.584300
Read Throughput SRAM 0;2388;508294;3.147784
Scalar Read Throughput SRAM 0;2388;1009480;1.584974
Read Throughput;2388;508295;3.147778
Scalar Read Throughput;2388;1009481;1.584973
Write Throughput SRAM 0;2388;884487;1.808958
Scalar Write Throughput SRAM 0;2388;1009481;1.584973
Write Throughput;2388;508393;3.147172
Scalar Write Throughput;2388;1009481;1.584973
Read Throughput SRAM 0;2508;507912;3.150152
Scalar Read Throughput SRAM 0;2508;1009057;1.585639
Read Throughput;2508;507912;3.150152
Scalar Read Throughput;2508;1009058;1.585637
Write Throughput SRAM 0;2508;884233;1.809478
Scalar Write Throughput SRAM 0;2508;1009057;1.585639
Write Throughput;2508;508009;3.149550
Scalar Write Throughput;2508;1009059;1.585636
Read Throughput SRAM 0;2632;507555;3.152368
Scalar Read Throughput SRAM 0;2632;1008662;1.586260
Read Throughput;2632;507555;3.152368
Scalar Read Throughput;2632;1008662;1.586260
Write Throughput SRAM 0;2632;883427;1.811129
Scalar Write Throughput SRAM 0;2632;1008662;1.586260
Write Throughput;2632;507653;3.151759
Scalar Write Throughput;2632;1008663;1.586258
Read Throughput SRAM 0;2760;507221;3.154444
Scalar Read Throughput SRAM 0;2760;1008294;1.586839
Read Throughput;2760;507220;3.154450
Scalar Read Throughput;2760;1008292;1.586842
Write Throughput SRAM 0;2760;883238;1.811516
Scalar Write Throughput SRAM 0;2760;1008293;1.586840
Write Throughput;2760;507319;3.153834
Scalar Write Throughput;2760;1008292;1.586842
Read Throughput SRAM 0;2896;506896;3.156466
Scalar Read Throughput SRAM 0;2896;1007934;1.587405
Read Throughput;2896;506896;3.156466
Scalar Read Throughput;2896;1007934;1.587405
