Test;Size;Time (µs);GB/s
Write Throughput;2436;508588;1.258386
Scalar Write Throughput;2436;1010035;0.633641
Read Throughput SRAM 0;2552;507983;1.259885
Scalar Read Throughput SRAM 0;2552;1009633;0.633894
Read Throughput;2552;507982;1.259887
Scalar Read Throughput;2552;1009634;0.633893
Write Throughput SRAM 0;2552;886009;0.722340
Scalar Write Throughput SRAM 0;2552;1009632;0.633894
Write Throughput;2552;508225;1.259285
Scalar Write Throughput;2552;1009630;0.633896
Read Throughput SRAM 0;2672;507653;1.260704
Scalar Read Throughput SRAM 0;2672;1009273;0.634120
Read Throughput;2672;507651;1.260709
Scalar Read Throughput;2672;1009272;0.634120
Write Throughput SRAM 0;2672;885816;0.722498
Scalar Write Throughput SRAM 0;2672;1009274;0.634119
Write Throughput;2672;507899;1.260093
Scalar Write Throughput;2672;1009274;0.634119
Read Throughput SRAM 0;2796;507334;1.261496
Scalar Read Throughput SRAM 0;2796;1008919;0.634342
Read Throughput;2796;507332;1.261501
Scalar Read Throughput;2796;1008920;0.634342
Write Throughput SRAM 0;2796;886159;0.722218
Scalar Write Throughput SRAM 0;2796;1008917;0.634344
Write Throughput;2796;507579;1.260888
Scalar Write Throughput;2796;1008918;0.634343
Read Throughput SRAM 0;2928;507025;1.262265
Scalar Read Throughput SRAM 0;2928;1008573;0.634560
Read Throughput;2928;507024;1.262268
Scalar Read Throughput;2928;1008574;0.634559
Write Throughput SRAM 0;2928;885456;0.722791
Scalar Write Throughput SRAM 0;2928;1008573;0.634560
Write Throughput;2928;507271;1.261653
Scalar Write Throughput;2928;1008574;0.634559
Read Throughput SRAM 0;3064;506740;1.262975
Scalar Read Throughput SRAM 0;3064;1008262;0.634756
Read Throughput;3064;506740;1.262975
Scalar Read Throughput;3064;1008263;0.634755
Write Throughput SRAM 0;3064;885290;0.722927
Scalar Write Throughput SRAM 0;3064;1008260;0.634757
Write Throughput;3064;506984;1.262367
Scalar Write Throughput;3064;1008260;0.634757
Read Throughput SRAM 0;3208;506462;1.263668
Scalar Read Throughput SRAM 0;3208;1007955;0.634949
Read Throughput;3208;506461;1.263671
Scalar Read Throughput;3208;1007951;0.634952
